Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2018,Searches: Jun 2018,Searches: Jul 2018,Searches: Aug 2018,Searches: Sep 2018,Searches: Oct 2018,Searches: Nov 2018,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019
parkinson,USD,110000,Low,21,0.08,3.9,,,,,,90500,90500,110000,90500,74000,90500,110000,110000,110000,110000,110000,110000
parkinson's treatment,USD,4400,Medium,52,2.68,7.04,,,,,,4400,3600,3600,3600,4400,5400,4400,4400,4400,4400,4400,5400
osmolex,USD,480,Low,8,2,2.6,,,,,,480,320,320,390,320,390,320,320,590,590,590,590
parkinson's disease,USD,301000,Low,26,0.07,3,,,,,,301000,301000,368000,301000,246000,301000,301000,301000,301000,301000,301000,301000
parkinsons symptoms,USD,60500,Medium,39,0.1,2.72,,,,,,60500,74000,74000,60500,49500,49500,40500,33100,49500,49500,60500,74000
parkinson's disease symptoms,USD,27100,Medium,36,0.12,3,,,,,,27100,27100,33100,33100,33100,33100,27100,33100,33100,27100,27100,27100
parkinson's disease treatment,USD,6600,Medium,52,1.82,6.28,,,,,,8100,6600,8100,6600,6600,8100,8100,6600,6600,6600,8100,8100
parkinson's disease causes,USD,14800,Low,26,0.1,2,,,,,,14800,12100,14800,9900,12100,12100,14800,18100,14800,14800,14800,18100
parkinsonism,USD,9900,Low,10,0.06,2.07,,,,,,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,9900,12100
parkinson's disease cure,USD,1600,Medium,46,1.18,7,,,,,,1300,1300,1300,1000,1300,1600,1600,1300,1300,1300,2400,2400
parkinson disease is characterized by,USD,1300,Low,23,0.1,3,,,,,,1300,1000,1300,480,390,1300,1600,1600,1000,1300,1600,1900
early signs of parkinson's,USD,9900,Low,29,0.06,2.12,,,,,,9900,8100,9900,12100,9900,8100,9900,12100,12100,9900,12100,12100
parkinson cure,USD,2400,Low,33,1,4.5,,,,,,1600,1600,1900,1900,1900,1900,2400,2400,2900,2400,2900,2400
signs of parkinson's,USD,8100,Medium,40,0.08,2,,,,,,6600,6600,8100,8100,6600,6600,8100,8100,9900,8100,9900,8100
parkinson's disease stages,USD,9900,Medium,37,0.1,2.02,,,,,,8100,12100,12100,6600,8100,12100,14800,8100,8100,8100,9900,6600
parkinsons dementia,USD,5400,Low,27,0.07,2.62,,,,,,5400,3600,4400,5400,5400,4400,5400,8100,6600,6600,8100,8100
parkinson's disease life expectancy,USD,1000,Low,18,0.08,3.14,,,,,,1300,1300,1300,1000,880,1000,720,1000,1000,880,1000,1000
parkinson syndrome,USD,2900,Low,18,0.09,3.9,,,,,,2400,2900,2900,2400,2400,2400,2400,2400,2900,2900,2900,2900
how is parkinson's diagnosed,USD,6600,Low,28,0.12,3.9,,,,,,5400,6600,6600,6600,5400,6600,5400,6600,6600,8100,8100,6600
parkinson's medication,USD,6600,Medium,41,1.9,5,,,,,,6600,5400,5400,6600,6600,6600,6600,6600,8100,6600,6600,8100
parkinson's prognosis,USD,1000,Low,18,0.33,4.1,,,,,,1000,880,1000,1000,880,1000,1300,1300,1000,1000,1000,1300
parkinson's disease medications,USD,2400,Medium,42,1.51,5,,,,,,1900,1900,2400,2400,2400,2400,2400,1900,2400,2400,2900,2400
parkinson plus,USD,1000,Low,23,0.06,5.85,,,,,,1000,1000,1000,1000,880,1000,880,880,1000,1000,1000,1000
vascular parkinsonism,USD,3600,Low,26,0.06,3,,,,,,2400,1300,1000,1300,1000,1300,2400,27100,1600,1300,1600,1300
early symptoms of parkinson's,USD,6600,Low,28,0.07,2.01,,,,,,5400,6600,8100,8100,5400,5400,6600,6600,6600,6600,8100,8100
parkinson's disease prognosis,USD,1900,Low,29,0.15,3.5,,,,,,1900,1600,1900,1600,1900,2400,2400,1900,2400,2400,1900,2400
signs of parkinson's disease,USD,3600,Medium,41,0.09,3.01,,,,,,2900,2900,3600,3600,2400,4400,2900,4400,3600,2900,3600,4400
is parkinson's disease hereditary,USD,3600,Low,25,0.06,2,,,,,,2900,3600,3600,2900,2900,2900,2900,4400,3600,3600,4400,4400
parkinson's disease dementia,USD,1000,Low,17,0.2,2.5,,,,,,880,880,1000,880,880,1000,1000,880,1000,880,1300,1000
parkinsons stages,USD,6600,Medium,36,0.07,2.1,,,,,,3600,4400,8100,4400,4400,6600,8100,4400,12100,6600,4400,12100
parkingson,USD,1000,Low,24,0.36,5.35,,,,,,1000,1000,1300,1000,1000,1000,1000,1000,1000,1000,1300,1300
early symptoms of parkinson's disease,USD,2400,Low,32,0.09,4.61,,,,,,3600,2900,2900,2400,1900,2400,1900,1900,2400,1900,1900,1900
parkinson's drugs,USD,2400,Low,25,2.15,5,,,,,,3600,1900,1900,1900,2900,1900,2400,1900,2400,1900,2400,1900
parkinson's disease diagnosis,USD,6600,Medium,36,0.3,5,,,,,,5400,3600,4400,4400,4400,5400,6600,9900,9900,8100,9900,9900
early onset parkinson's,USD,2900,Low,12,0.06,4.67,,,,,,1900,2400,2900,1900,2400,2900,2900,2900,2400,2900,3600,3600
about parkinson's disease,USD,110,Medium,43,0.11,2,,,,,,90,70,110,110,90,90,90,110,90,140,140,110
parkinson's support group,USD,1000,Medium,47,1.19,3.84,,,,,,1000,1300,1300,1300,1000,1000,1000,880,1300,1300,1300,1300
cure parkinson,USD,10,Medium,41,1.34,5,,,,,,10,10,10,10,10,10,10,10,20,20,10,10
parkinson's causes,USD,2400,Low,16,0.14,3.9,,,,,,3600,1900,2400,2400,2400,2900,2400,2400,2900,2900,2900,2900
parkison disease,USD,1000,Medium,36,0.14,3.47,,,,,,1000,1000,1300,1000,880,1000,1000,1300,1300,1000,1300,1300
perkins disease,USD,390,Low,10,0.07,2,,,,,,390,390,320,320,320,390,390,390,480,320,390,390
drugs for parkinson's disease,USD,590,Low,30,2.01,5,,,,,,720,590,320,480,720,590,480,390,880,720,590,590
parkinson's research,USD,590,Medium,49,1.75,6,,,,,,480,480,590,720,590,590,720,590,720,720,720,720
parkinson's progression,USD,1000,Low,23,0.12,4,,,,,,880,1000,1300,1000,1000,1300,1000,880,1000,1000,1300,1000
early signs of parkinson's disease,USD,2400,Medium,35,0.08,2.78,,,,,,1600,2900,3600,2900,1000,3600,1900,1900,1900,1900,2400,2400
what causes parkinson's,USD,2900,Low,23,0.09,2,,,,,,1900,3600,2900,2400,2900,4400,1900,1900,3600,3600,2400,2400
information on parkinson's disease,USD,390,Medium,63,2,7,,,,,,320,320,390,320,320,320,320,390,390,390,480,390
parkinson's disease progression,USD,880,Low,30,0.11,3.23,,,,,,880,880,880,1000,1000,880,880,880,880,880,880,1300
deep brain stimulation parkinsons,USD,1900,Low,32,2.38,9.75,,,,,,1600,1600,1600,1600,1600,3600,2900,1600,1900,2400,2400,2900
parkinson tremor,USD,2400,Low,17,1.32,7.33,,,,,,2400,1900,2400,2400,2400,2400,2400,2400,2900,2400,2900,2900
what's parkinson's disease,USD,720,Low,26,0.07,2.19,,,,,,480,880,720,480,480,590,590,720,720,720,720,880
parkinson cure found,USD,140,High,70,0.55,3.15,,,,,,210,170,170,170,140,110,140,110,140,110,170,170
parkinson plus syndrome,USD,480,Low,19,0.05,5,,,,,,480,390,480,480,390,480,480,390,480,390,590,590
parkinsonism and related disorders,USD,320,Low,11,0.1,3,,,,,,260,260,320,390,320,260,260,210,260,260,260,480
advanced parkinson's disease,USD,320,Low,26,0.08,5,,,,,,260,210,390,390,260,320,320,390,260,320,390,390
parkinson tremor treatment,USD,260,Medium,57,2.59,7.5,,,,,,170,210,260,210,260,260,210,210,260,260,260,210
what's parkinson's,USD,480,Low,24,0.07,2.6,,,,,,590,480,590,390,320,480,480,480,480,480,480,590
pd disease,USD,2400,Low,14,0.05,6.85,,,,,,1900,1600,1900,2400,2900,1900,1900,480,4400,1900,1900,2400
parkinson's breakthrough,USD,260,Medium,45,1.77,5.85,,,,,,210,210,390,320,210,320,320,210,390,320,260,320
early parkinson's,USD,390,Low,19,0.06,2,,,,,,390,320,320,390,590,590,320,390,480,480,390,320
new parkinson's treatment,USD,590,High,75,1.87,7,,,,,,590,480,590,590,480,720,880,590,590,590,720,590
parkinson therapy,USD,210,Medium,46,2,5.85,,,,,,210,170,170,170,170,260,260,210,210,260,320,260
effects of parkinson's disease,USD,390,Low,26,0.09,2.74,,,,,,390,390,390,260,390,320,320,390,480,390,480,480
what is parkinson's disease,USD,22200,Medium,35,0.07,2,,,,,,18100,22200,27100,18100,18100,22200,22200,22200,22200,22200,22200,27100
parkinson's cure 2016,USD,10,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,10,0,0
latest parkinson's disease treatment,USD,170,High,80,2,4.88,,,,,,260,260,260,260,170,140,110,110,140,140,170,110
parkinson's disease treatment options,USD,390,Medium,61,2.11,5,,,,,,320,320,480,480,480,480,390,390,170,480,390,320
parkinson breakthrough 2016,USD,10,Unknown,,,,,,,,,20,10,10,10,0,0,0,0,0,10,0,0
early onset parkinson's disease,USD,590,Low,13,0.06,3.25,,,,,,1000,480,480,1600,390,320,390,480,720,480,390,590
parkinson's treatment options,USD,70,Medium,58,3.15,15.48,,,,,,110,50,140,90,50,70,70,40,30,50,70,110
parkinsonian gait,USD,1600,Low,5,0.11,5,,,,,,1600,1300,1300,1300,1300,1600,1600,1300,1300,1600,1600,1900
cure for parkinson's disease 2016,USD,10,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
parkinson's disease treatment drugs,USD,170,Medium,48,2.92,20,,,,,,210,260,140,110,70,140,170,170,140,140,110,140
parkinson's disease research,USD,260,Medium,41,2,6,,,,,,320,210,210,210,260,320,390,260,320,320,320,320
parkinson's disease cures and treatments,USD,20,High,69,2.67,4.71,,,,,,40,50,40,20,20,10,20,10,10,10,20,10
